id	filename	md5	size	state
de819dc3-dbde-4a92-b859-86e1e2bcd3c4	G35154.TCGA-TQ-A7RV-02A-11D-A36O-08.3.bam	5966936ae90b80cae0ee7fae419cb2a7	320195915444	live
8e6db5b3-96e4-4a80-9604-99a9433a1bb5	G35154.TCGA-FG-5965-01B-11D-1893-08.2.bam	8f439c0ae26f98d2869aeb1ec8bee528	316407389818	live
7f2ad00f-02aa-4094-9662-9e8092d240e1	G35154.TCGA-DU-7304-02A-12D-A36O-08.4.bam	285bfdef20315d57027fb2c0fe77a87a	306169525703	live
d184ed85-cb21-43cc-95f6-0619f9283b29	G35154.TCGA-DU-6397-02A-12D-A36O-08.3.bam	2ef77b1027dc36c0b5d6ed0078f681ba	304596628085	live
06158eca-e4b3-400e-806c-5342049e40aa	G35154.TCGA-DU-7013-01A-11D-A461-08.1.bam	0bab4eac316760fb62c3fb6063d109b5	294332027434	live
5c3c83f3-c65b-4c23-99d4-64183122fe2c	G35154.TCGA-DU-6407-02A-12D-A36O-08.2.bam	d346e7fca82ffb64f9d1cb360d0d8a37	293412498074	live
09cdd379-ed5f-4bcd-96d7-53dcb3469e3c	G35154.TCGA-FG-5965-02A-11D-A29Q-08.2.bam	dc90ffbd0e5b11d5084bdb06879dc7c0	290427194988	live
18937bf6-6756-4b8b-8728-e1cabbc746c3	G35154.TCGA-TQ-A7RK-02B-11D-A401-08.3.bam	9c9ad9eae3e50e2853ec500dd2d3b13e	288268833996	live
c0b259dd-e27a-46af-a639-f80a0e1e7fff	G35154.TCGA-FG-A4MT-02A-11D-A29Q-08.3.bam	a5700bcd1e1a92023926573660c7d977	285970393780	live
9d827820-042a-412f-ae10-1f97190c446d	G35154.TCGA-CS-6665-01A-11D-1893-08.2.bam	c34decf8dc07cd54293b765dcd7c6361	285709104189	live
444d6791-2bcb-4356-9ce9-5e8bd11c186f	G35154.TCGA-DU-6404-02B-11D-A36O-08.3.bam	fd778cc76df17c9a3545254c0440356a	284963717087	live
841fb551-ccd2-4f66-87f1-32acf8af2e33	G35154.TCGA-DU-6407-02B-11D-A36O-08.2.bam	8b9dde5d918e41f2b50dc075cc5775d7	282715996293	live
074b6b1f-4846-42c9-a6dd-ea94aabfb270	G35154.TCGA-DU-5870-02A-12D-A36O-08.3.bam	983dc7a4728ca90974f2c6ae7150b58c	280935763396	live
bc4e3b89-3a13-471f-8769-7d711cfbad8e	G35154.TCGA-DH-A669-02A-11D-A31L-08.3.bam	7b680f0bd1e0c73b8a904ab63121b47d	280629338623	live
ad52b277-d592-4ece-a72f-4d48f9394453	G35154.TCGA-FG-7643-01A-11D-A461-08.2.bam	9b0bffe2f3917a2043530ef25b621550	279600372050	live
41c3ad23-569a-452e-8577-85a783c2a020	G35154.TCGA-TM-A7CF-01A-11D-A32B-08.4.bam	f31f851353591281cec7d38cdb253394	278560421425	live
065e1f84-f913-4932-b59f-0700a5d0a239	G35154.TCGA-DU-6404-02A-21D-A36O-08.3.bam	1e64963d586332ce2e13f4dfd71fe12c	277838975819	live
68fdf201-9dfe-443b-8933-554f011fc87c	G35154.TCGA-FG-5965-02B-11D-A29Q-08.2.bam	df74bc394a39dfd1441edebdfccc7cb4	276912683837	live
5ce3eb80-b2f7-4ebe-bcda-690bfbf4a5ba	G35154.TCGA-DH-A669-01A-12D-A31L-08.3.bam	2b2323d55d1f01e03026ade758d446f4	276064393429	live
a68e5cb4-4fb0-4196-971a-3078fcf7bbc3	G35154.TCGA-TQ-A7RK-02A-11D-A36O-08.3.bam	b1c685d4dc5a03217e7ae47c61899bb1	273648912090	live
90057127-5744-4f65-853a-66561166dcbc	G35154.TCGA-TQ-A7RV-01A-21D-A34A-08.3.bam	9c691a0d50dd02af07ae536dbf2fe271	272919418232	live
4b48a880-f86b-4e8b-9d21-65c14ba90284	G35154.TCGA-TQ-A7RK-01A-11D-A33T-08.3.bam	6153a7c2096f0e7fe1cc55613b7a7539	271186837181	live
19191a31-9d4e-43a8-a88e-aff919fd0f95	G35154.TCGA-IK-7675-01A-11D-2086-08.6.bam	4c2e489b1372f5bf8a0f44aaeee8ddfb	269391951320	live
de01f2de-931f-4b79-9abc-966eaee7ca0a	G35154.TCGA-FG-8182-01A-11D-2253-08.3.bam	7a34d368b11a3f8b3e2418dfbe6cf4f9	269246298883	live
8a20d221-bfb2-4832-afd6-dcab1e100a82	G35154.TCGA-TQ-A8XE-02A-11D-A36O-08.4.bam	a218d3cf411105accc50f1accd1a1830	263731932236	live
